id,sentiment,review
1,0,However_comma_ another approach is to train a separate out-of-domain parser_comma_ and use this to generate additional features on the supervised and unsupervised in-domain data (Blitzer et al. _comma_ 2006).
2,0,Recent work by McClosky et al.(2006) and Blitzer et al.(2006) have shown that the existence of a large unlabeled corpus in the new domain can be leveraged in adaptation.
3,0,c2007 Association for Computational Linguistics Structural Correspondence Learning for Dependency Parsing Nobuyuki Shimizu Information Technology Center University of Tokyo Tokyo_comma_ Japan shimizu@r.dl.itc.u-tokyo.ac.jp Hiroshi Nakagawa Information Technology Center University of Tokyo Tokyo_comma_ Japan nakagawa@dl.itc.u-tokyo.ac.jp Abstract Following (Blitzer et al. _comma_ 2006)_comma_ we present an application of structural correspondence learning to non-projective dependency parsing (McDonald et al. _comma_ 2005).
4,0,In this paper_comma_ we investigate the effectiveness of structural correspondence learning (SCL) (Blitzer et al. _comma_ 2006) in the domain adaptation task given by the CoNLL 2007.
5,0,They hypothesize that a model trained in the source domain using this common feature representation will generalize better to the target domain_comma_ and focus on using unlabeled data from both the source and target domains to learn a common feature representation that is meaningful across both domains.
6,0,3 Domain Adaptation Following (Blitzer et al. _comma_ 2006)_comma_ we present an application of structural correspondence learning (SCL) to non-projective dependency parsing (McDonald et al. _comma_ 2005).
7,0,SCL is a method for adapting a classifier learned in a source domain to a target domain.
8,0,SCL works as follows: 1.
9,0,WSJ represents the application of the parser without SCL to the source domain test set_comma_ and WSJ-SCL the parser with SCL to the same test set.
10,0,Similarily 1168 Domain LAS UAS Label Accuracy WSJ 83.01%  83.43% 86.43%  86.81% 88.77%  88.99% WSJ-SCL 83.43%  83.59% 86.87%  86.93% 88.75%  89.01% Chem 74.75%  75.18% 80.74%  81.24% 82.34%  82.70% Chem-SCL 75.04%  74.91% 81.02%  80.82% 82.18%  82.18% Table 3: Labeled Attachment Score_comma_ Unlabeled Attachment Score and Label Accuracy Chem and Chem-SCL represents the application of the parser without SCL and with SCL to the source domain test set respectively.
11,0,Contrary to our expectations_comma_ we seem to see SCL overfitting to the source domain WSJ in this experiment.
12,0,Effectiveness of SCL for domain adaptation is mixed in this experiment perhaps due to the mismatch between feature sets.
13,0,Furthermore_comma_ I plan to apply my parsers in other domains (e.g. _comma_ biomedical data) (Blitzer et al. _comma_ 2006) besides treebank data_comma_ to investigate the effectiveness and generality of my approaches.
14,0,Following (Blitzer et al. _comma_ 2006)_comma_ we call the first the source domain_comma_ and the second the target domain.
15,0,Recently there have been some studies addressing domain adaptation from different perspectives (Roark and Bacchiani_comma_ 2003; Chelba and Acero_comma_ 2004; Florian et al. _comma_ 2004; Daume III and Marcu_comma_ 2006; Blitzer et al. _comma_ 2006).
16,0,The POS data set and the CTS data set have previously been used for testing other adaptation methods (Daume III and Marcu_comma_ 2006; Blitzer et al. _comma_ 2006)_comma_ though the setup there is different from ours.
17,0,Our performance using instance weighting is comparable to their best performance (slightly worse for POS and better for CTS).
18,0,Blitzer et al.(2006) propose a domain adaptation method that uses the unlabeled target instances to infer a good feature representation_comma_ which can be regarded as weighting the features.
19,0,First_comma_ we extend to sentiment classification the recently-proposed structural correspondence learning (SCL) algorithm_comma_ reducing the relative error due to adaptation between domains by an average of 30% over the original SCL algorithm and 46% over a supervised baseline.
20,0,440 respondence learning (SCL) domain adaptation algorithm (Blitzer et al. _comma_ 2006) for use in sentiment classification.
21,0,A key step in SCL is the selection of pivot features thatare usedtolink thesourceandtarget domains.
22,0,For data as diverse as product reviews_comma_ SCL can sometimes misalign features_comma_ resulting in degradation when we adapt between domains.
23,0,In the next section we briefly review SCL and introduce our new pivot selection method.
24,0,Section 4 gives results for SCL and the mutual information method for selecting pivot features.
25,0,2 Structural Correspondence Learning Before reviewing SCL_comma_ we give a brief illustrative example.
26,0,2.1 Algorithm Overview Given labeled data from a source domain and unlabeled data from both source and target domains_comma_ SCLfirstchoosesasetofmpivotfeatureswhichoccur frequently in both domains.
27,0,Then_comma_ it models the correlations between the pivot features and all other features by training linear pivot predictors to predict occurrences of each pivot in the unlabeled data from both domains (Ando and Zhang_comma_ 2005; Blitzer et al. _comma_ 2006).
28,0,2.2 Selecting Pivots with Mutual Information The efficacy of SCL depends on the choice of pivot features.
29,0,For the part of speech tagging problem studied by Blitzer et al.(2006)_comma_ frequently-occurring words in both domains were good choices_comma_ since they often correspond to function words such as prepositions and determiners_comma_ which are good indicators of parts of speech.
30,0,Table 1 shows the set-symmetric 441 SCL_comma_ not SCL-MI SCL-MI_comma_ not SCL book one <num> so all a must a wonderful loved it very about they like weak dont waste awful good when highly recommended and easy Table 1: Top pivots selected by SCL_comma_ but not SCLMI (left) and vice-versa (right) differencesbetweenthetwomethodsforpivotselectionwhenadaptingaclassifierfrombookstokitchen appliances.
31,0,When we reportresultswithSCLandSCL-MI_comma_werequirethat pivots occur in more than five documents in each domain.
32,0,4 Experiments with SCL and SCL-MI Each labeled dataset was split into a training set of 1600 instances and a test set of 400 instances.
33,0,The second is 442 65 70 75 80 85 90 D->BE->BK->BB->DE->DK->D baselineSCLSCL-MIbooks 72.8 76.8 79.7 70.7 75.475.4 70.9 66.1 68.6 80.4 82.4 77.2 74.0 75.8 70.6 74.3 76.2 72.7 75.4 76.9 dvd 65 70 75 80 85 90 B->ED->EK->EB->KD->KE->K electronics kitchen 70.8 77.5 75.9 73.0 74.1 74.1 82.7 83.7 86.8 84.4 87.7 74.5 78.778.9 74.0 79.4 81.484.0 84.4 85.9 Figure 1: Accuracy results for domain adaptation between all pairs using SCL and SCL-MI.
34,0,domain\polarity negative positive books plot <num> pages predictable reader grisham engaging reading this page <num> must read fascinating kitchen the plastic poorly designed excellent product espresso leaking awkward to defective are perfect years now a breeze Table 2: Correspondences discovered by SCL for books and kitchen appliances.
35,0,To show how SCL deals with those domain mismatches_comma_ we look at the adaptation from book reviews to reviews of kitchen appliances.
36,1,SCL addresses both of these issues simultaneously by aligning features from the two domains.
37,0,In contrast_comma_ SCL assigns weight to these features indirectly through the projection matrix.
38,0,While some rows of the projection matrix  are 443 useful for classification_comma_ SCL can also misalign features.
39,0,Ando and Zhang (2005) and Blitzeretal.(2006)suggest = 104_comma_ = 0_comma_which we have used in our results so far.
40,0,We augment each labeled target instance xj with the label assigned by the source domain classifier (Florian et al. _comma_ 2004; Blitzer et al. _comma_ 2006).
41,0,As a baseline_comma_ we used the label of the sourcedomainclassifierasafeatureinthetarget_comma_ but did not use any SCL features.
42,0,Here we show how to select source domains using only unlabeled data and the SCL representation.
43,0,6.1 The A-distance We propose to measure domain adaptability by using the divergence of two domains after the SCL projection.
44,0,Our procedure is as follows: Given two domains_comma_ we compute the SCL representation.
45,0,As we noted in Section 5_comma_ we are able to significantly outperform basic structural correspondence learning (Blitzer et al. _comma_ 2006).
46,0,We also note that while Florian et al.(2004) and Blitzer et al.(2006) observe that including the label of a source classifier asa featureon smallamounts of target data tends to improve over using either the source alone or the target alone_comma_ we did not observe that for our data.
47,0,Finally we note that while Blitzer et al.(2006) did combine SCL with labeled target domain data_comma_ they only compared using the label of SCL or non-SCL source classifiers as features_comma_ following the work of Florian et al.(2004).
48,0,By only adapting the SCLrelated part of the weight vector v_comma_ we are able to make better use of our small amount of unlabeled data than these previous techniques.
49,0,First_comma_ we showed that for a given source and target domain_comma_ we can significantly improve for sentiment classification the structural correspondence learning model of Blitzer et al.(2006).
50,0,In the field of classifications_comma_ Blitzer et al.(2006) utilized unlabelled corpora to extract features of structural correspondences_comma_ and then adapted a POS-tagger to a biomedical domain.
51,0,Although unsupervised methods can exploit large in-domain data_comma_ the above studies could not obtain the accuracy as high as that for an original domain_comma_ even with the sufficient size of the unlabelled corpora.
52,0,Most of this prior work deals with supervised transfer learning_comma_ and thus requires labeled source domain data_comma_ though there are examples of unsupervised (Arnold et al._comma_ 2007)_comma_ semi-supervised (Grandvalet and Bengio_comma_ 2005; Blitzer et al._comma_ 2006)_comma_ and transductive approaches (Taskar et al._comma_ 2003).
53,0,Note that there are some similarities between our two-stage semi-supervised learning approach and the semi-supervised learning method introduced by (Blitzer et al._comma_ 2006)_comma_ which is an extension of the method described by (Ando and Zhang_comma_ 558 2005).
54,0,In particular_comma_ both methods use a two-stage approach; They first train generative models or auxiliary problems from unlabeled data_comma_ and then_comma_ they incorporate these trained models into a supervised learning algorithm as real valued features.
55,0,Moreover_comma_ both methods make direct use of existing feature-vector definitions f(x_comma_y) in inducing representations from unlabeled data.
56,0,Previous work in domain adaptation can be classified into two categories: [S+T+]_comma_ where a small_comma_ labeled target domain data is available_comma_ e.g.(Blitzer et al._comma_ 2006; Jiang and Zhai_comma_ 2007; Daume III_comma_ 2007; Finkel and Manning_comma_ 2009)_comma_ or [S+T-]_comma_ where no labeled target domain data is available_comma_ e.g.(Blitzer et al._comma_ 2006; Jiang and Zhai_comma_ 2007).
57,0,In both cases_comma_ and especially for [S+T-]_comma_ domain adaptation can leverage on large amounts of unlabeled data in the target domain.
58,1,Thus although [S+T+] is easier to handle_comma_ [S+T-] is of higher practical importance.
59,0,In this paper_comma_ we propose a domain adaptive bootstrapping (DAB) approach to tackle the domain adaptation problem under the setting [S+T-].
60,0,Bickel et al.(Bickel et al._comma_ 2007) discriminatively learns a scaling factor for source domain training data_comma_ so as to adapt the source domain data distribution to resemble the target domain data distribution_comma_ under the [S+T-] setting.
61,0,They learn the underlying mixture distribution using the conditional expectation maximization algorithm_comma_ under the [S+T+] setting.
62,0,Jiang and Zhai (2007) proposed an instance re-weighting framework that handles both the [S+T+] and [S+T-] settings.
63,1,For [S+T-]_comma_ the resulting algorithm is a balanced bootstrapping algorithm_comma_ which was shown to outperform the standard bootstrapping algorithm.
64,1,In this paper_comma_ we assume the [S+T-] settings_comma_ and we show that the approach proposed in this paper_comma_ domain adaptive bootstrapping (DAB)_comma_ outperforms the balanced bootstrapping algorithm on NER.
65,0,He assumed the existence of training data in the target-domain (under the setting [S+T+])_comma_ so that the three classes of features can be jointly trained using source and target domain labeled data.
66,0,This cannot be done in the setting [S+T-]_comma_ where no training data is available in the target domain.
67,0,Using a different approach_comma_ Blitzer et al.(2006) induces correspondences between feature spaces in different domains_comma_ by detecting pivot features.
68,0,3 Bootstrapping for domain adaptation We first define the notations used for domain adaptation in the [S+T-] setting.
69,0,For [S+T-]_comma_ the resulting algorithm is a balanced bootstrapping algorithm_comma_ which we describe below.
