id,sentiment,review
1,1,SCL addresses both of these issues simultaneously by aligning features from the two domains.
2,1,Thus although [S+T+] is easier to handle_comma_ [S+T-] is of higher practical importance.
3,1,For [S+T-]_comma_ the resulting algorithm is a balanced bootstrapping algorithm_comma_ which was shown to outperform the standard bootstrapping algorithm.
4,1,In this paper_comma_ we assume the [S+T-] settings_comma_ and we show that the approach proposed in this paper_comma_ domain adaptive bootstrapping (DAB)_comma_ outperforms the balanced bootstrapping algorithm on NER.
5,1,So far_comma_ SCL has been applied successfully in NLP for Part-of-Speech tagging and Sentiment Analysis (Blitzer et al._comma_ 2006; Blitzer et al._comma_ 2007).
6,1,We report on our exploration of applying SCL to adapt a syntactic disambiguation model and show promising initial results on Wikipedia domains.
7,1,Similarly_comma_ Structural Correspondence Learning (Blitzer et al._comma_ 2006; Blitzer et al._comma_ 2007; Blitzer_comma_ 2008) has proven to be successful for the two tasks examined_comma_ PoS tagging and Sentiment Classification.
8,1,We examine the effectiveness of Structural Correspondence Learning (SCL) (Blitzer et al._comma_ 2006) for this task_comma_ a recently proposed adaptation technique shown to be effective for PoS tagging and Sentiment Analysis.
9,1,Thus_comma_ our first instantiation of SCL for parse disambiguation indeed shows promising results.
10,1,The empirical results show that our instantiation of SCL to parse disambiguation gives promising initial results_comma_ even without the many additional extensions on the feature level as done in Blitzer et al.(2006).
11,1,On the three examined datasets_comma_ SCL slightly but constantly outperformed the baseline.
12,1,c 2009 Association for Computational Linguistics Improving SCL Model for Sentiment-Transfer Learning  Songbo Tan Institute of Computing Technology Beijing_comma_ China tansongbo@software.ict.ac.cn Xueqi Cheng Institute of Computing Technology Beijing_comma_ China cxq@ict.ac.cn  ABSTRACT In recent years_comma_ Structural Correspondence Learning (SCL) is becoming one of the most promising techniques for sentiment-transfer learning.
13,1,Among these techniques_comma_ SCL (Structural Correspondence Learning) (Blitzer et al._comma_ 2006) is regarded as a promising method to tackle transfer-learning problem.
14,1,A preliminary evaluation favors the use of SCL over the simpler self-training techniques.
15,1,2 Previous Work So far_comma_ Structural Correspondence Learning has been applied successfully to PoS tagging and Sentiment Analysis (Blitzer et al._comma_ 2006; Blitzer et al._comma_ 2007).
16,1,A recent attempt (Plank_comma_ 2009) shows promising results on applying SCL to parse disambiguation.
17,1,SCL and Self-training results The results for SCL (Table 3) show a small_comma_ but consistent increase in absolute performance on all testsets over the baselines (up to +0.27 absolute CA or 7.34% relative error reduction_comma_ which is significant at p < 0.05 according to sign test).
